year,geo,naics2,band,n_establishments,employment,n_observed
1997,chicago,11,1-9,17,52.0,0
1997,chicago,11,10-49,7,157.0,0
1997,chicago,11,50-99,1,69.0,0
1997,chicago,21,1-9,15,59.0,0
1997,chicago,21,10-49,11,218.0,0
1997,chicago,21,100-249,1,130.0,0
1997,chicago,21,1000+,1,4000.0,0
1997,chicago,21,50-99,1,80.0,0
1997,chicago,21,unknown,2,0.0,0
1997,chicago,22,1-9,14,61.0,0
1997,chicago,22,10-49,11,206.0,0
1997,chicago,22,1000+,3,4600.0,0
1997,chicago,22,250-499,1,275.0,0
1997,chicago,22,unknown,1,0.0,0
1997,chicago,23,1-9,3885,13811.0,0
1997,chicago,23,10-49,644,11707.0,0
1997,chicago,23,100-249,31,4391.0,0
1997,chicago,23,250-499,10,3367.0,0
1997,chicago,23,50-99,79,4822.0,0
1997,chicago,23,500-999,1,500.0,0
1997,chicago,23,unknown,5,0.0,0
1997,chicago,31,1-9,610,2314.0,0
1997,chicago,31,10-49,269,5383.0,0
1997,chicago,31,100-249,48,6866.0,0
1997,chicago,31,1000+,4,9400.0,0
1997,chicago,31,250-499,21,7045.0,0
1997,chicago,31,50-99,49,3179.0,0
1997,chicago,31,500-999,5,3450.0,0
1997,chicago,31,unknown,21,0.0,0
1997,chicago,32,1-9,1114,3983.0,0
1997,chicago,32,10-49,480,9648.0,0
1997,chicago,32,100-249,77,10583.0,0
1997,chicago,32,1000+,3,4200.0,0
1997,chicago,32,250-499,19,5984.0,0
1997,chicago,32,50-99,121,7844.0,0
1997,chicago,32,500-999,8,5115.0,0
1997,chicago,32,unknown,10,0.0,0
1997,chicago,33,1-9,1555,5749.0,0
1997,chicago,33,10-49,746,14749.0,0
1997,chicago,33,100-249,121,17129.0,0
1997,chicago,33,1000+,5,7300.0,0
1997,chicago,33,250-499,39,11876.0,0
1997,chicago,33,50-99,142,9174.0,0
1997,chicago,33,500-999,15,9312.0,0
1997,chicago,33,unknown,17,0.0,0
1997,chicago,42,1-9,4664,18095.0,0
1997,chicago,42,10-49,1093,21485.0,0
1997,chicago,42,100-249,123,17199.0,0
1997,chicago,42,1000+,9,18700.0,0
1997,chicago,42,250-499,46,14817.0,0
1997,chicago,42,50-99,180,11528.0,0
1997,chicago,42,500-999,14,9052.0,0
1997,chicago,42,unknown,10,0.0,0
1997,chicago,44,1-9,9141,29267.0,0
1997,chicago,44,10-49,1179,21312.0,0
1997,chicago,44,100-249,76,11433.0,0
1997,chicago,44,250-499,20,6361.0,0
1997,chicago,44,50-99,123,7735.0,0
1997,chicago,44,500-999,1,500.0,0
1997,chicago,44,unknown,6,0.0,0
1997,chicago,45,1-9,3447,9558.0,0
1997,chicago,45,10-49,363,7444.0,0
1997,chicago,45,100-249,32,4976.0,0
1997,chicago,45,1000+,2,2000.0,0
1997,chicago,45,250-499,11,3375.0,0
1997,chicago,45,50-99,45,2966.0,0
1997,chicago,45,500-999,4,2950.0,0
1997,chicago,48,1-9,1091,4581.0,0
1997,chicago,48,10-49,470,7558.0,0
1997,chicago,48,100-249,57,8099.0,0
1997,chicago,48,1000+,1,1200.0,0
1997,chicago,48,250-499,15,4638.0,0
1997,chicago,48,50-99,65,4053.0,0
1997,chicago,48,500-999,3,2115.0,0
1997,chicago,48,unknown,2,0.0,0
1997,chicago,49,1-9,72,256.0,0
1997,chicago,49,10-49,76,1674.0,0
1997,chicago,49,100-249,21,2541.0,0
1997,chicago,49,1000+,2,9000.0,0
1997,chicago,49,250-499,3,1150.0,0
1997,chicago,49,50-99,21,1418.0,0
1997,chicago,49,500-999,2,1100.0,0
1997,chicago,49,unknown,1,0.0,0
1997,chicago,51,1-9,1617,6514.0,0
1997,chicago,51,10-49,489,9728.0,0
1997,chicago,51,100-249,37,4576.0,0
1997,chicago,51,1000+,9,15900.0,0
1997,chicago,51,250-499,22,6433.0,0
1997,chicago,51,50-99,77,4980.0,0
1997,chicago,51,500-999,9,5832.0,0
1997,chicago,51,unknown,12,0.0,0
1997,chicago,52,1-9,3759,13274.0,0
1997,chicago,52,10-49,966,18990.0,0
1997,chicago,52,100-249,127,18480.0,0
1997,chicago,52,1000+,13,46730.0,0
1997,chicago,52,250-499,44,14570.0,0
1997,chicago,52,50-99,201,12994.0,0
1997,chicago,52,500-999,30,20190.0,0
1997,chicago,52,unknown,31,0.0,0
1997,chicago,53,1-9,3492,12856.0,0
1997,chicago,53,10-49,770,13824.0,0
1997,chicago,53,100-249,35,4842.0,0
1997,chicago,53,250-499,10,3270.0,0
1997,chicago,53,50-99,72,4459.0,0
1997,chicago,53,500-999,1,800.0,0
1997,chicago,53,unknown,8,0.0,0
1997,chicago,54,1-9,17904,47533.0,0
1997,chicago,54,10-49,1566,29765.0,0
1997,chicago,54,100-249,112,15650.0,0
1997,chicago,54,1000+,8,16900.0,0
1997,chicago,54,250-499,49,15112.0,0
1997,chicago,54,50-99,201,12800.0,0
1997,chicago,54,500-999,17,10920.0,0
1997,chicago,54,unknown,9,0.0,0
1997,chicago,55,1-9,23,74.0,0
1997,chicago,55,10-49,7,138.0,0
1997,chicago,55,100-249,2,229.0,0
1997,chicago,55,250-499,1,300.0,0
1997,chicago,55,50-99,4,232.0,0
1997,chicago,55,500-999,3,1942.0,0
1997,chicago,55,unknown,9,0.0,0
1997,chicago,56,1-9,3070,10841.0,0
